Source,Target,Weight,Type
川端 京子B9-2,B9-3,1,Undirected
Q1-5,トヤ外山 勝彦E5-1,1,Undirected
Q1-5,A6-3,1,Undirected
Q1-5,B8-3,1,Undirected
Q10-15,三輪 誠C10-4,1,Undirected
Q10-15,Q5-2,1,Undirected
Q10-15,P6-11,1,Undirected
Q10-15,Q7-10,1,Undirected
Q10-15,Q10-2,1,Undirected
Q10-15,Q10-4,1,Undirected
Q10-15,Q10-17,1,Undirected
Q10-15,Q10-19,1,Undirected
佐藤 志貴D4-2,P9-10,1,Undirected
佐藤 志貴D4-2,P9-19,1,Undirected
佐藤 志貴D4-2,P10-5,1,Undirected
P5-19○,神藤 駿介A4-6,1,Undirected
P5-19○,D5-4,1,Undirected
P5-19○,C7-4,1,Undirected
Cheng,Yun-NunD4-1,1,Undirected
Zhao,Zi ChengB3-5,1,Undirected
シバ柴田 圭悟P2-8,Q4-6,1,Undirected
シバ柴田 圭悟P2-8,Q4-18○,1,Undirected
Q5-16,ウラ浦川 通E4-1,1,Undirected
Q5-16,Q6-24,2,Undirected
Q5-16,P9-8,2,Undirected
Q5-16,タモ田森 秀明E4-1,1,Undirected
Q5-16,C7-1,1,Undirected
Q5-16,C10-1,1,Undirected
Q5-16,Q10-21,1,Undirected
永田 亮E1-1,E1-2○,1,Undirected
永田 亮E1-1,B10-1,1,Undirected
永田 亮E1-1,P3-10,1,Undirected
Kertkeidkachorn,NatthawutP7-3,1,Undirected
Kertkeidkachorn,P10-24,1,Undirected
Q3-12,林 和樹A1-5,1,Undirected
Q3-12,Q2-12,1,Undirected
Q3-12,P8-6○,1,Undirected
Q3-12,林 克彦A1-5,1,Undirected
Q3-12,C4-4,1,Undirected
Q3-12,C8-5,1,Undirected
Q3-12,Q5-10,1,Undirected
Q3-12,P6-25J,1,Undirected
Ma,YoumiC1-5,1,Undirected
Ma,A3-1,1,Undirected
Ma,C10-1,1,Undirected
Ma,Q8-21○,1,Undirected
杉山 陽菜乃Q7-14,Q7-20○,1,Undirected
杉山 陽菜乃Q7-14,Q7-22,1,Undirected
C4-5,岡部 健太C4-3○,1,Undirected
C4-5,乙村 浩太郎C4-3,1,Undirected
C4-5,P6-16○,1,Undirected
C4-5,中村 光貴C4-3,1,Undirected
P2-5○,趙 羽風A7-4○,1,Undirected
P2-5○,P2-10,1,Undirected
P2-5○,Q3-16,1,Undirected
P2-5○,Q8-17,1,Undirected
P9-8,ウラ浦川 通E4-1,1,Undirected
P9-8,Q6-24,2,Undirected
P9-8,タモ田森 秀明E4-1,1,Undirected
P9-8,C7-1,1,Undirected
P9-8,C10-1,1,Undirected
P9-8,Q10-21,1,Undirected
マル丸山 拓海Q7-2○,P8-14,1,Undirected
内海 慶D1-4,B10-5○,1,Undirected
坪倉 和哉D3-1○,P3-15,1,Undirected
坪倉 和哉D3-1○,P10-21,1,Undirected
Dai,QinP6-6,1,Undirected
Dai,Q8-3,1,Undirected
P10-7,ミナ南 泰浩Q7-19,1,Undirected
P10-7,Q8-4,1,Undirected
イデ井手 佑翼Q4-20,Q9-11○,1,Undirected
A2-5,峯島 宏次B1-2,1,Undirected
Lu,JieP7-15,1,Undirected
綿引 周A4-2,E8-3,1,Undirected
綿引 周A4-2,E8-6○,1,Undirected
坂地 泰紀B6-4,P2-16,1,Undirected
坂地 泰紀B6-4,P5-12,1,Undirected
坂地 泰紀B6-4,Q6-6,1,Undirected
坂地 泰紀B6-4,P7-21,1,Undirected
Q10-21,タモ田森 秀明E4-1,1,Undirected
Q10-21,C7-1,1,Undirected
Q10-21,C10-1,2,Undirected
Q10-21,Q6-24,2,Undirected
