Author,Papers,Degree,Betweenness,Eigenvector,PageRank,Community
C10-1,8,0.01670843776106934,0.0003615970435192402,5.3152462746565855e-06,0.005240045364326314,16
P6-8,5,0.01086048454469507,6.216768230498208e-05,1.9860688813691805e-10,0.003715437371513853,46
B6-2,4,0.010025062656641603,6.635876201093592e-05,1.7863166328487474e-10,0.0033313083714801416,46
Q7-20,4,0.007518796992481203,0.0001024486150344274,2.262398026147217e-19,0.0031313736381365005,44
P5-3,3,0.005847953216374269,2.235242509842052e-05,2.1189110042461923e-31,0.0029685311400660993,84
P7-25,3,0.005847953216374269,3.21316110789795e-05,7.930365407858608e-29,0.002763515963906842,112
Wang,3,0.004177109440267335,1.117621254921026e-05,1.0427393991479015e-39,0.002751464367488996,132
Q8-13,3,0.00835421888053467,4.260931034386412e-05,4.892535641796408e-12,0.0027322539370508723,109
Q4-25,3,0.005847953216374269,1.9558371961117954e-05,1.9914418174400782e-24,0.0026883735004491456,133
Q8-21,5,0.006683375104427736,1.3271752402187184e-05,1.7090006169862805e-06,0.002666519228480216,16
Q3-20,3,0.007518796992481203,5.448403617740002e-05,7.92181130037995e-18,0.0026483988999328463,54
B9-3,3,0.003341687552213868,6.985132843256413e-06,4.876866186596721e-44,0.00259418363936309,1
C4-5,3,0.003341687552213868,6.985132843256413e-06,4.876866186596721e-44,0.00259418363936309,25
P7-21,3,0.005847953216374269,3.539133973916583e-05,2.5676496502868206e-19,0.002580099903441434,44
Q6-6,3,0.005847953216374269,3.539133973916583e-05,2.5676496502868206e-19,0.002580099903441434,44
P6-24J,3,0.007518796992481203,1.8161345392466673e-05,1.6142367955038412e-10,0.0025691701070815194,46
Q10-3,3,0.004177109440267335,9.080672696233337e-06,3.703081607007545e-37,0.002552152059550996,81
A8-3,2,0.012531328320802004,0.00010058591294289235,0.4066653502665206,0.002473545287225451,78
Q6-24,3,0.007518796992481203,4.004809496800343e-05,3.824546810386101e-06,0.002349892457257846,16
Q3-12,2,0.006683375104427736,2.9337557941676933e-05,3.282118745520958e-18,0.00230779980551562,22
P10-19,2,0.005012531328320802,1.3970265686512826e-05,5.789706858556258e-26,0.002211699075391148,74
E8-3,2,0.003341687552213868,8.382159411907694e-06,1.2118926167792053e-40,0.0021704483927162824,43
Q9-11,2,0.004177109440267335,8.382159411907694e-06,4.909185943399559e-34,0.0021603660379312206,96
P2-24,2,0.004177109440267335,8.382159411907694e-06,4.909185943399554e-34,0.0021603660379312206,361
P10-5,2,0.004177109440267335,8.382159411907694e-06,4.909185943399556e-34,0.00216036603793122,6
Q4-6,2,0.003341687552213868,5.58810627460513e-06,1.999883287797903e-41,0.0021504273964875103,15
P9-4,2,0.003341687552213868,5.58810627460513e-06,1.999883287797903e-41,0.0021504273964875103,197
P5-22,2,0.005847953216374269,2.7940531373025652e-05,6.962898738838461e-18,0.002113669932103583,54
Q5-10,2,0.005847953216374269,2.235242509842052e-05,3.0257662736144183e-18,0.002095912219550912,22
Q2-3,2,0.006683375104427736,2.7940531373025652e-05,4.446720350415619e-12,0.002067925481270562,109
P5-6,2,0.004177109440267335,1.9558371961117954e-05,5.623530813091535e-29,0.0020545324186903562,112
Q7-21,2,0.006683375104427736,1.676431882381539e-05,2.7457201593290775e-13,0.0020433717848931626,117
Q2-13,2,0.004177109440267335,2.794053137302565e-06,1.772257169392748e-24,0.0019781225102223987,133
Q4-11,2,0.002506265664160401,2.794053137302565e-06,2.7611698849352597e-46,0.0019749803825194305,221
P3-1,2,0.002506265664160401,2.794053137302565e-06,2.7611698849352597e-46,0.0019749803825194305,333
Q8-3,2,0.002506265664160401,2.794053137302565e-06,2.76116988493526e-46,0.0019749803825194305,32
P2-4,2,0.002506265664160401,2.794053137302565e-06,2.761169884935256e-46,0.0019749803825194305,70
Q9-6,2,0.002506265664160401,2.794053137302565e-06,2.7611698849352597e-46,0.0019749803825194305,85
Q4-13,2,0.002506265664160401,2.794053137302565e-06,2.76116988493526e-46,0.0019749803825194305,305
P10-14,2,0.002506265664160401,2.794053137302565e-06,2.7611698849352593e-46,0.0019749803825194305,240
B7-6,2,0.002506265664160401,2.794053137302565e-06,2.7611698849352597e-46,0.0019749803825194305,103
P10-24,2,0.002506265664160401,2.794053137302565e-06,2.761169884935256e-46,0.0019749803825194305,21
P10-13,2,0.002506265664160401,2.794053137302565e-06,2.7611698849352597e-46,0.0019749803825194305,319
P7-6,2,0.005847953216374269,4.889592990279489e-06,4.418784713427643e-12,0.0019326230884442114,109
P3-4,2,0.001670843776106934,1.3970265686512825e-06,1.6245269339846676e-57,0.0019281688817244565,196
MuhammadP9-3,2,0.001670843776106934,1.3970265686512825e-06,1.6245269339846676e-57,0.0019281688817244565,50
P8-19,2,0.001670843776106934,1.3970265686512825e-06,1.6245269339846676e-57,0.0019281688817244565,336
Chen,2,0.001670843776106934,1.3970265686512825e-06,1.6245269339846676e-57,0.0019281688817244565,477
Q9-1,2,0.001670843776106934,1.3970265686512825e-06,1.6245269339846676e-57,0.0019281688817244565,275
P1-20,2,0.001670843776106934,1.3970265686512825e-06,1.6245269339846676e-57,0.0019281688817244565,180
Q2-21,2,0.00835421888053467,0.00023470046353341547,3.2779886261745966e-06,0.001920601699542283,16
P1-18,2,0.003341687552213868,4.191079705953847e-06,7.748190809915461e-36,0.0019129666789203096,165
P9-2,2,0.004177109440267335,8.382159411907694e-06,5.33462302799105e-26,0.0018865331650933315,74
Q10-1,2,0.007518796992481203,4.191079705953848e-05,0.17325531434725083,0.0018670790463706135,78
Q3-23,2,0.006683375104427736,3.6322690784933346e-05,1.6080324260850673e-06,0.001860653590886155,16
Q3-2,2,0.006683375104427736,3.6322690784933346e-05,1.6080324260850673e-06,0.001860653590886155,16
Q10-21,2,0.006683375104427736,1.862702091535043e-05,3.6595586895713344e-06,0.001839298553109872,16
P3-15,2,0.003341687552213868,1.3970265686512825e-06,1.65872616304491e-33,0.0018149229128567755,31
P10-21,2,0.003341687552213868,1.3970265686512825e-06,1.65872616304491e-33,0.0018149229128567753,31
P5-12,2,0.005012531328320802,3.911674392223591e-05,1.866968839107232e-19,0.0017977245578744503,44
Q7-22,2,0.004177109440267335,3.911674392223591e-05,8.22508362074005e-20,0.0017873452666316535,44
P7-4,2,0.004177109440267335,9.779185980558977e-06,1.683944398837061e-24,0.0017728408587195162,133
E8-6,2,0.002506265664160401,5.58810627460513e-06,8.956635555605708e-41,0.0017480198026212188,43
P6-14,2,0.002506265664160401,6.985132843256413e-07,2.7396458386500496e-37,0.0017137465377578393,81
P9-8,2,0.005847953216374269,7.4508083661401754e-06,3.1718769915494353e-06,0.0016710372904603292,16
Q5-16,2,0.005847953216374269,7.4508083661401754e-06,3.1718769915494353e-06,0.0016710372904603292,16
P5-17,2,0.003341687552213868,6.985132843256413e-06,2.6489937713522124e-18,0.001590048024976205,54
Q7-24J,2,0.003341687552213868,6.985132843256413e-06,2.6489937713522124e-18,0.0015900480249762049,54
Q2-2,1,0.005012531328320802,0.0,4.2141901459081576e-12,0.001457516446235774,109
Q7-1,1,0.005012531328320802,0.0,4.214190145908157e-12,0.001457516446235774,109
Q2-4,1,0.005012531328320802,0.0,4.214190145908157e-12,0.001457516446235774,109
関根 聡C10-2,1,0.005012531328320802,0.0,4.214190145908157e-12,0.001457516446235774,109
P10-6○,1,0.003341687552213868,0.0,5.0888857440295834e-26,0.0014539924130963057,74
高山 隼矢A4-1,1,0.003341687552213868,0.0,5.0888857440295834e-26,0.0014539924130963057,74
P1-5,1,0.003341687552213868,0.0,5.0888857440295834e-26,0.0014539924130963057,74
C5-1,1,0.004177109440267335,0.0,6.45036267917558e-18,0.0014462618140476718,54
B5-1,1,0.004177109440267335,0.0,6.45036267917558e-18,0.0014462618140476716,54
P2-1,1,0.004177109440267335,0.0,6.450362679175581e-18,0.0014462618140476716,54
石垣 達也A2-6,1,0.004177109440267335,0.0,6.45036267917558e-18,0.0014462618140476716,54
P4-16,1,0.005012531328320802,0.0,2.591964457923392e-13,0.0014368129073004695,117
吉永 直樹A5-3,1,0.005012531328320802,0.0,2.591964457923392e-13,0.0014368129073004695,117
B8-5,1,0.005012531328320802,0.0,2.591964457923391e-13,0.0014368129073004691,117
A8-2,1,0.005012531328320802,0.0,2.591964457923391e-13,0.0014368129073004691,117
P10-2,1,0.005012531328320802,0.0,2.591964457923391e-13,0.0014368129073004691,117
P2-23,1,0.005012531328320802,0.0,2.591964457923391e-13,0.0014368129073004691,117
P6-25J,1,0.004177109440267335,0.0,2.7983188921221614e-18,0.001431933865491891,22
林 克彦A1-5,1,0.004177109440267335,0.0,2.7983188921221614e-18,0.001431933865491891,22
C8-5,1,0.004177109440267335,0.0,2.7983188921221614e-18,0.001431933865491891,22
C4-4,1,0.004177109440267335,0.0,2.7983188921221614e-18,0.001431933865491891,22
内山 将夫E8-5,1,0.002506265664160401,0.0,7.13375875808364e-36,0.0014044300449309337,165
Q1-14,1,0.002506265664160401,0.0,7.13375875808364e-36,0.0014044300449309335,165
P1-12,1,0.002506265664160401,0.0,7.13375875808364e-36,0.0014044300449309335,165
Q3-4○,1,0.003341687552213868,0.0,1.6124389451737297e-24,0.001357816388516058,133
村岡 雅康Q2-11,1,0.003341687552213868,0.0,1.6124389451737297e-24,0.001357816388516058,133
P6-11,1,0.006683375104427736,0.0,0.0026201702793961796,0.001346978070360538,3
Q5-2,1,0.006683375104427736,0.0,0.0026201702793961796,0.001346978070360538,3
Q10-19,1,0.006683375104427736,0.0,0.0026201702793961796,0.0013469780703605377,3
Q10-2,1,0.006683375104427736,0.0,0.0026201702793961796,0.0013469780703605377,3
Q7-10,1,0.006683375104427736,0.0,0.0026201702793961796,0.0013469780703605377,3
Q10-17,1,0.006683375104427736,0.0,0.0026201702793961796,0.0013469780703605377,3
Q10-4,1,0.006683375104427736,0.0,0.0026201702793961796,0.0013469780703605377,3
Q10-15,1,0.006683375104427736,0.0,0.0026201702793961796,0.0013469780703605377,3
三輪 誠C10-4,1,0.006683375104427736,0.0,0.0026201702793961796,0.0013469780703605377,3
中谷 響Q2-12,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,284
KruengkraiP10-3,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,95
Yun-NunD4-1,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,12
コマ古俣 槙山E7-4,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,605
Q1-23J○,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,88
NickA10-6,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,544
P8-16○,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,343
有木 康雄Q2-15,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,378
P8-14,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,27
Zhang,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,632
P1-6,1,0.000835421888053467,0.0,2.307494674958351e-65,0.0013469780703605375,347
EdisonQ2-9,1,0.003341687552213868,0.0,1.4704204406629408e-27,0.0013469780703605375,56
