Author,Papers,Degree,Betweenness,Eigenvector,PageRank,Community
Q2-12,4,0.014986376021798364,0.00014869280438346388,6.001186389213821e-08,0.005323238691227804,22
P7-8,4,0.005449591280653951,2.230392065751958e-05,5.59705763921128e-31,0.005105906771806914,90
B9-1,3,0.010899182561307902,7.806372230131853e-05,2.1257483690815405e-17,0.004796555232922153,118
C7-5,3,0.012261580381471389,5.947712175338555e-05,5.6421449603914375e-08,0.004368272705327872,22
Wang,3,0.004087193460490463,1.115196032875979e-05,1.2789347167846426e-33,0.004113459630060792,23
A10-1,3,0.006811989100817439,2.602124076710618e-05,7.386717002495611e-22,0.003942294652226723,31
P12-13,3,0.012261580381471389,4.832516142462576e-05,7.567550628082047e-06,0.003875067088158282,81
Q4-10,3,0.012261580381471389,4.832516142462576e-05,7.567550628082047e-06,0.003875067088158282,81
B6-3,2,0.014986376021798364,0.00016727940493139687,9.353902959664565e-05,0.0035868832035929913,38
B8-1,2,0.008174386920980926,3.3455880986279375e-05,7.718460583235283e-19,0.0035383943420942247,294
P7-4,2,0.012261580381471389,0.00010036764295883812,7.152231956021424e-06,0.0033940117863274534,81
B12-1,2,0.010899182561307902,0.0001226715636163577,4.7899473640913805e-08,0.003393641730529305,22
P2-6,2,0.009536784741144414,3.717320109586597e-05,1.9769578088895034e-11,0.003292226720279081,56
H10-2,2,0.012261580381471389,5.5759801643798956e-05,8.52409186035736e-05,0.0032452316451668517,38
A4-3,2,0.012261580381471389,5.5759801643798956e-05,8.52409186035736e-05,0.0032452316451668517,38
D10-1,2,0.004087193460490463,7.434640219173194e-06,1.509057508825925e-29,0.0031225064592628584,115
A11-4,2,0.004087193460490463,7.434640219173194e-06,1.5090575088259245e-29,0.0031225064592628584,82
Q8-13,2,0.004087193460490463,7.434640219173194e-06,1.509057508825925e-29,0.0031225064592628584,119
Q2-6,2,0.004087193460490463,7.434640219173194e-06,1.5090575088259248e-29,0.0031225064592628584,259
P8-11,2,0.0027247956403269754,3.717320109586597e-06,4.125701182167553e-37,0.003121012488314672,92
H10-4,2,0.0027247956403269754,3.717320109586597e-06,4.125701182167553e-37,0.003121012488314672,96
Q7-12,2,0.0027247956403269754,3.717320109586597e-06,4.125701182167553e-37,0.003121012488314672,127
Li,2,0.0027247956403269754,3.717320109586597e-06,4.125701182167553e-37,0.003121012488314672,139
Chen,2,0.0027247956403269754,3.717320109586597e-06,4.125701182167553e-37,0.003121012488314672,91
C9-5,2,0.005449591280653951,1.115196032875979e-05,1.619344267418341e-22,0.003023158193320383,160
P3-13,2,0.005449591280653951,1.115196032875979e-05,1.6193442674183406e-22,0.0030231581933203825,104
P8-3,3,0.012261580381471389,3.0269606606633716e-05,0.3448305554765222,0.0029038687416949286,60
Q8-6,2,0.010899182561307902,5.310457299409424e-07,0.3398200045361532,0.0025161763995199915,60
Q12-3,2,0.010899182561307902,5.310457299409424e-07,0.3398200045361532,0.0025161763995199915,60
H6-1,2,0.010899182561307902,5.310457299409424e-07,0.3398200045361532,0.0025161763995199915,60
H6-4,2,0.010899182561307902,5.310457299409424e-07,0.3398200045361532,0.0025161763995199906,60
P8-1,2,0.010899182561307902,5.310457299409424e-07,0.3398200045361532,0.0025161763995199906,60
H12-1,2,0.010899182561307902,5.310457299409424e-07,0.3398200045361532,0.0025161763995199906,60
吉永直樹C2-5○,1,0.004087193460490463,0.0,6.273701603042509e-22,0.0022833901066949183,31
P8-2,1,0.004087193460490463,0.0,6.273701603042509e-22,0.002283390106694918,31
P10-6,1,0.004087193460490463,0.0,6.273701603042509e-22,0.0022833901066949174,31
P4-8,1,0.006811989100817439,0.0,1.8180492334242097e-11,0.002247046520877718,56
C10-5,1,0.006811989100817439,0.0,1.8180492334242097e-11,0.002247046520877718,56
P7-10,1,0.006811989100817439,0.0,1.8180492334242097e-11,0.002247046520877718,56
武田浩一C4-4,1,0.006811989100817439,0.0,1.8180492334242097e-11,0.0022470465208777176,56
A12-2,1,0.006811989100817439,0.0,1.8180492334242097e-11,0.0022470465208777176,56
Q6-6,1,0.004087193460490463,0.0,1.4909301582073672e-22,0.002219320984142648,160
C5-2,1,0.004087193460490463,0.0,1.4909301582073672e-22,0.002219320984142648,160
佐藤理史A2-4,1,0.004087193460490463,0.0,1.4909301582073672e-22,0.002219320984142648,160
山崎誠P3-11,1,0.004087193460490463,0.0,1.4909301582073667e-22,0.0022193209841426475,104
P3-12○,1,0.004087193460490463,0.0,1.4909301582073667e-22,0.0022193209841426475,104
P9-11○,1,0.004087193460490463,0.0,1.4909301582073667e-22,0.002219320984142647,104
H3-4,1,0.008174386920980926,0.0,6.500063023334631e-06,0.0021542596690621637,81
高村大也H3-1,1,0.008174386920980926,0.0,6.500063023334631e-06,0.0021542596690621637,81
P12-8,1,0.008174386920980926,0.0,6.500063023334631e-06,0.0021542596690621637,81
P11-9,1,0.008174386920980926,0.0,6.500063023334631e-06,0.0021542596690621637,81
P6-7,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,9
B10-4,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,9
B11-5,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,50
D10-3,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,50
P10-11,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,26
Q12-13,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,9
P4-12,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,26
P10-10,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,26
ツル鶴岡慶雅Q3-10,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,9
P2-1,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,50
Q11-9,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,50
村上仁一D1-2,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.0021285653465685514,26
P7-5,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.002128565346568551,9
モリ森信介Q9-5,1,0.006811989100817439,0.0,6.8831659890887665e-12,0.002128565346568551,50
