Source,Target,Weight,Type
C12-5,加藤祥太Q4-9○,1,Undirected
C12-5,C12-2,1,Undirected
C12-2,加藤祥太Q4-9○,1,Undirected
○西村 太一,迫田 航次郎,1,Undirected
○西村 太一,牛久 敦,1,Undirected
○西村 太一,橋本 敦史,1,Undirected
○西村 太一,奥田 奈津子,1,Undirected
○西村 太一,小野 富三人,1,Undirected
○西村 太一,亀甲 博貴,1,Undirected
○西村 太一,森 信介,1,Undirected
Song,HaiyueQ3-7○,1,Undirected
B10-4,ツル鶴岡慶雅Q3-10,1,Undirected
B10-4,Q9-1,1,Undirected
B10-4,Q12-13,1,Undirected
B10-4,P6-7,1,Undirected
B10-4,P7-5,1,Undirected
C3-3,松崎拓也C1-3,1,Undirected
小林悟郎C3-4,C3-5○,1,Undirected
D3-4○,上田亮D3-2○,1,Undirected
D3-4○,A4-3,1,Undirected
D3-4○,H10-2,1,Undirected
D3-4○,P9-5,1,Undirected
H2-5○,キシ岸波洋介D2-3,1,Undirected
P9-9,西口純代P3-10○,1,Undirected
P9-9,P7-13○,1,Undirected
東山翔平B11-1,B12-1,1,Undirected
東山翔平B11-1,B12-2,1,Undirected
東山翔平B11-1,P6-1○,1,Undirected
TianqiQ6-13○,Wang,1,Undirected
P4-12,村上仁一D1-2,1,Undirected
P4-12,A8-3○,1,Undirected
P4-12,P10-10,1,Undirected
P4-12,P10-11,1,Undirected
P4-12,P10-12,1,Undirected
奥田 奈津子,迫田 航次郎,1,Undirected
奥田 奈津子,牛久 敦,1,Undirected
奥田 奈津子,橋本 敦史,1,Undirected
奥田 奈津子,小野 富三人,1,Undirected
奥田 奈津子,亀甲 博貴,1,Undirected
奥田 奈津子,森 信介,1,Undirected
栗原健太郎Q8-5○,A12-4○,1,Undirected
A10-1,小林亮太C3-2,1,Undirected
A10-1,中山悠理C3-2○,1,Undirected
A10-1,吉永直樹C2-5○,1,Undirected
A10-1,P8-2,1,Undirected
A10-1,P10-6,1,Undirected
B12-1,井之上直也Q1-7,1,Undirected
B12-1,Q2-12,1,Undirected
B12-1,Q3-9,1,Undirected
B12-1,C7-5,1,Undirected
B12-1,Q8-14,1,Undirected
B12-1,B12-2,1,Undirected
B12-1,P6-1○,1,Undirected
