Source,Target,Weight,Type
Q3-17,EdisonQ2-9,1,Undirected
Q3-17,Q3-6,1,Undirected
Q3-17,P9-11○,1,Undirected
水本智也 (フューチャー/理研),Labs),1,Undirected
水本智也 (フューチャー/理研),鈴木潤,1,Undirected
水本智也 (フューチャー/理研),乾健太郎,1,Undirected
Q4-10,石垣達也H3-1,1,Undirected
Q4-10,H11-1,1,Undirected
Q4-10,P12-13,3,Undirected
Q4-10,上原由衣H3-1,1,Undirected
Q4-10,高村大也H3-1,1,Undirected
Q4-10,H3-4,1,Undirected
Q4-10,P7-4,1,Undirected
Q4-10,P11-9,1,Undirected
Q4-10,P12-8,1,Undirected
P7-2,ツル鶴岡慶雅B2-1,1,Undirected
P7-2,P7-11,1,Undirected
P7-2,P8-14,1,Undirected
A5-2,松崎拓也P1-2,1,Undirected
A5-2,B2-4,1,Undirected
A5-2,C2-2,1,Undirected
A5-2,E4-4,1,Undirected
石原祥太郎Q2-2○,D11-2,1,Undirected
H6-1,河野誠也C5-1○,1,Undirected
H6-1,H6-4,2,Undirected
H6-1,Q8-6,2,Undirected
H6-1,H12-1,2,Undirected
H6-1,Q12-3,2,Undirected
H6-1,P8-1,2,Undirected
H6-1,P8-3,2,Undirected
H6-1,吉野幸一郎C5-1,1,Undirected
峯島宏次D1-4,D2-4,1,Undirected
峯島宏次D1-4,Q6-12,1,Undirected
峯島宏次D1-4,D12-1,1,Undirected
E8-3,タニ谷口彰E8-1,1,Undirected
E8-3,E8-2,1,Undirected
E8-3,西田 知史B3-2,1,Undirected
E8-3,E8-6,1,Undirected
E8-3,綿引 周A4-2,1,Undirected
E8-3,E8-6○,1,Undirected
P2-4,齋藤 邦子C9-4,1,Undirected
P2-4,C10-5,1,Undirected
P2-4,長谷川 拓C9-4,1,Undirected
辻本 陵Q2-12,P5-2○,1,Undirected
P5-19,松原茂樹C2-4,1,Undirected
P5-19,P3-10,1,Undirected
P5-19,P6-23,1,Undirected
P5-19,P8-3,1,Undirected
P5-19,P11-2,1,Undirected
P5-19,P11-4,1,Undirected
P5-19,P11-12,1,Undirected
ヒラ平尾 努P1-23,Q9-6,1,Undirected
ウノ宇野裕C11-1,P8-26,1,Undirected
D1-4○,持橋 大地D1-1,1,Undirected
D1-4○,E1-2,1,Undirected
D1-4○,E2-5,1,Undirected
D1-4○,E4-1,1,Undirected
D1-4○,P6-5,1,Undirected
D1-4○,P8-4,1,Undirected
D1-4○,Q9-10,1,Undirected
P10-27,前田英作B9-1,1,Undirected
P10-27,B10-1,1,Undirected
栗林 樹生D5-4,E10-3○,1,Undirected
栗林 樹生D5-4,P2-7,1,Undirected
P5-16,Chu,1,Undirected
P5-16,ChenhuiB3-1,1,Undirected
P5-16,C4-2,1,Undirected
P5-16,A8-3,1,Undirected
P5-16,A10-2,1,Undirected
P5-16,P1-8,1,Undirected
P5-16,Q1-12,1,Undirected
P5-16,Q5-3,1,Undirected
Bui TuanB3-1○,Thanh,1,Undirected
