Source,Target,Weight,Type
,PH1-13,1,Undirected
,PT1-17,1,Undirected
,PH1-5,1,Undirected
,PH1-7,1,Undirected
,PH3-1,1,Undirected
,PT3-3○,1,Undirected
,E2-1,1,Undirected
,E3-2,1,Undirected
,C4-3,2,Undirected
,E4-1,1,Undirected
,B5-1,1,Undirected
,F5-2,2,Undirected
,E6-4,1,Undirected
,PT3-4,1,Undirected
,C5-1,1,Undirected
,G5-4,2,Undirected
,D3-5,1,Undirected
,PT2-4○,1,Undirected
,PH3-11,1,Undirected
,PT4-3,1,Undirected
,F5-3,1,Undirected
,C6-3,1,Undirected
,PH3-6,1,Undirected
,B7-1,1,Undirected
,E4-4,1,Undirected
,D5-3,3,Undirected
,G4-1,1,Undirected
,PH3-8,2,Undirected
,PT3-14,1,Undirected
,C7-3,1,Undirected
,PT2-7○,1,Undirected
,B3-4,1,Undirected
,B3-5,1,Undirected
,E2-2,1,Undirected
,C4-5,1,Undirected
,E6-1,1,Undirected
,PH4-12,1,Undirected
,A5-4,1,Undirected
,D5-1,1,Undirected
,PT2-6,1,Undirected
,B6-1,1,Undirected
,PT1-8,1,Undirected
,PT1-13,1,Undirected
,C2-3,2,Undirected
,C3-1,2,Undirected
,PH3-9,1,Undirected
,PH4-2,1,Undirected
,B2-5,1,Undirected
,F3-1,1,Undirected
,A3-1○,1,Undirected
,E3-3,1,Undirected
,B5-5,1,Undirected
,E5-3,1,Undirected
,PH1-15,2,Undirected
,PH2-8,1,Undirected
,C6-2,2,Undirected
,PT4-17,1,Undirected
,E2-4,2,Undirected
,C3-5,1,Undirected
,D5-2,2,Undirected
,G2-2,1,Undirected
,E4-5,1,Undirected
,C5-4,1,Undirected
,C6-1,1,Undirected
,D5-5,1,Undirected
,PT3-7,1,Undirected
,B4-1,1,Undirected
,B5-2,1,Undirected
,C3-5○,1,Undirected
,C6-4,1,Undirected
,PH4-10,1,Undirected
,PT1-16,1,Undirected
,PH4-1,1,Undirected
,PH3-10,1,Undirected
,B4-2,1,Undirected
,B4-3,1,Undirected
,PH1-10,1,Undirected
,E6-5,1,Undirected
,PH4-7,1,Undirected
,PH1-3,1,Undirected
,PT2-5,1,Undirected
,B4-5,1,Undirected
,F6-5,1,Undirected
,F2-4,1,Undirected
,F4-3,1,Undirected
,C5-2,1,Undirected
E4-1,C4-3,1,Undirected
F5-2,B5-1,1,Undirected
F5-2,C4-3,1,Undirected
F8-3,B4-5,1,Undirected
E3-3,A3-1○,1,Undirected
C6-5,PT4-12,1,Undirected
B3-5,B3-4,1,Undirected
G2-2,E4-5,1,Undirected
C8-3,C8-2○,1,Undirected
PH3-4,PH2-16,2,Undirected
C5-4,C6-1,1,Undirected
PT1-16,PH4-1,1,Undirected
D5-2,D5-3,1,Undirected
D5-2,PH1-10,1,Undirected
田川拓海 (筑波大),金丸敏幸 (京大),1,Undirected
PH3-1,PT3-3○,1,Undirected
B6-1,PT2-6,1,Undirected
PH1-7,PH1-5,1,Undirected
B4-3,B4-2,1,Undirected
PH4-10,C6-4,1,Undirected
Labs),水本智也 (フューチャー/理研),1,Undirected
Labs),鈴木潤,1,Undirected
Labs),乾健太郎,1,Undirected
B5-5,E5-3,1,Undirected
C4-5,E2-2,1,Undirected
F5-3,C6-3,1,Undirected
C5-2,G5-4,1,Undirected
PT4-17,C6-2,1,Undirected
PT4-5,A5-3,2,Undirected
B7-3,A5-5,1,Undirected
E6-5,PH4-7,1,Undirected
PT4-10,F7-2,1,Undirected
PT3-14,C7-3,1,Undirected
C3-5,E2-4,1,Undirected
E3-2,E2-1,1,Undirected
PH1-3,PT2-5,1,Undirected
D3-5,PT2-4○,1,Undirected
D8-3,PH3-6,1,Undirected
水本智也 (フューチャー/理研),鈴木潤,1,Undirected
水本智也 (フューチャー/理研),乾健太郎,1,Undirected
B7-1,PH3-6,1,Undirected
PT2-5,E5-1○,1,Undirected
渡邊友香 (国語研),西川賢哉,1,Undirected
F4-2,PH3-14,1,Undirected
F4-3,F2-4,1,Undirected
PT3-4○,A5-5,1,Undirected
奥村学 (東工大),(産総研),1,Undirected
E6-2,E5-4,1,Undirected
PH2-2,PT2-2,1,Undirected
G7-3,D6-5,1,Undirected
PH3-9,PH4-2,1,Undirected
C5-1,G5-4,1,Undirected
PT1-17,PH1-13,1,Undirected
乾健太郎,鈴木潤,1,Undirected
PH3-11,PT4-3,1,Undirected
G4-1,PH3-8,1,Undirected
PT4-8,PH3-10,2,Undirected
C3-5○,E2-4,1,Undirected
松本裕治 (理研),渡辺太郎 (NAIST),1,Undirected
PH4-8,PT3-5,1,Undirected
C3-1,C2-3,2,Undirected
D5-5,PT3-7,1,Undirected
PT2-14,PT3-15,1,Undirected
F3-1,B2-5,1,Undirected
PH3-7,F2-5,1,Undirected
A7-1,PT4-7,1,Undirected
PH3-8,PH3-10,1,Undirected
C6-2,B5-2,1,Undirected
PT1-13,PT1-8,1,Undirected
A5-4,D5-1,1,Undirected
E4-4,D5-3,1,Undirected
B4-5,F6-5,1,Undirected
B4-1,PH1-15,1,Undirected
A8-2,A6-4,1,Undirected
PT2-7○,D5-3,1,Undirected
E6-1,PH4-12,2,Undirected
PH2-8,PH1-15,1,Undirected
PT3-4,E6-4,1,Undirected
