Source,Target,Weight,Type
B5-1,P9-18,1,Undirected
キヤ木山幸子P4-2,P4-3,1,Undirected
SakrianiA4-1,Sakti,1,Undirected
SakrianiA4-1,A4-2,1,Undirected
A9-3,アキ秋葉友良P1-21,1,Undirected
A9-3,A3-1,1,Undirected
A9-3,C4-3,1,Undirected
A9-3,B6-2,1,Undirected
A9-3,P6-2,1,Undirected
P7-11,ツル鶴岡慶雅B2-1,1,Undirected
P7-11,P8-14,1,Undirected
コバ小林一郎P6-16,P6-17,1,Undirected
コバ小林一郎P6-16,P9-4,1,Undirected
シモ下平英寿A6-3,A7-1,1,Undirected
吉田遼C2-3,C2-4○,1,Undirected
吉田遼C2-3,P4-1,1,Undirected
P9-15,栗林樹生C2-3○,1,Undirected
P9-15,P4-1○,1,Undirected
P9-15,A7-2,1,Undirected
B9-4,ヒガ東中竜一郎C6-2,1,Undirected
B9-4,C6-4,1,Undirected
永田亮D4-1○,D7-3,1,Undirected
ツル鶴岡慶雅B2-1,P8-14,1,Undirected
A7-4,岡崎直観B3-3,1,Undirected
A7-4,C3-1,1,Undirected
A7-4,D3-2,1,Undirected
A7-4,P4-9,1,Undirected
A7-4,P5-18,1,Undirected
A7-4,B6-4,1,Undirected
A7-4,C7-3,1,Undirected
P4-4,P8-3,1,Undirected
村上仁一P3-7,E5-3○,1,Undirected
村上仁一P3-7,P7-3,1,Undirected
P4-1,P6-1,1,Undirected
P4-1,P6-9○,1,Undirected
P4-1,伊藤拓海C2-3,1,Undirected
P4-1,P9-15○,1,Undirected
P4-1,C2-4○,1,Undirected
P8-2,ケヤ欅惇志D3-2,1,Undirected
C6-4,ヒガ東中竜一郎C6-2,1,Undirected
C4-2,P4-11,1,Undirected
C4-2,C9-3,1,Undirected
P9-18,高村大也P1-15,1,Undirected
P9-18,P5-18,1,Undirected
P9-18,中山英樹P8-21,1,Undirected
井之上直也E1-3,P2-8,1,Undirected
井之上直也E1-3,P2-11,1,Undirected
LiyanB8-4,WANG,1,Undirected
Guo,LuP4-8○,1,Undirected
山田康輔B6-4○,C9-3○,1,Undirected
B8-3,キヨ清野舜B1-4○,1,Undirected
B8-3,P7-13,1,Undirected
B8-3,C9-4,1,Undirected
E5-3○,P7-3,1,Undirected
HaiyueA4-3,A4-4○,1,Undirected
BrassardE1-3,Ana,1,Undirected
BrassardE1-3,B8-2,1,Undirected
P2-11,P2-8,1,Undirected
P8-21,西田典起E7-3○,1,Undirected
P9-10,佐々木裕P2-16,1,Undirected
P9-10,C8-3,1,Undirected
P5-10,ヒラ平尾努P5-9,1,Undirected
D3-2,岡崎直観B3-3,1,Undirected
D3-2,C3-1,1,Undirected
D3-2,P4-9,1,Undirected
D3-2,P5-18,1,Undirected
D3-2,B6-4,1,Undirected
D3-2,C7-3,1,Undirected
