Id,Label,Papers,Degree,Betweenness,Eigenvector,PageRank,Community
,,239,0.4623655913978495,0.22917756466143563,0.6848471090029031,0.18318550219597501,0
から構築される日本語音声コーパス,から構築される日本語音声コーパス,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,1
E4-1,E4-1,1,0.010752688172043012,0.0,0.07820727964395648,0.004278899321380264,3
F5-2,F5-2,2,0.016129032258064516,2.906131938390003e-05,0.08614077730209052,0.007686285150642275,3
F8-3,F8-3,1,0.005376344086021506,0.0,0.007925042775719987,0.0031273839770107658,4
E3-3,E3-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
C6-5,C6-5,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,6
B3-5,B3-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
G2-2,G2-2,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,8
C8-3,C8-3,3,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,9
PH3-4,PH3-4,2,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,10
C5-4,C5-4,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
D8-4,D8-4,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,12
PT1-16,PT1-16,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,13
D5-2,D5-2,2,0.016129032258064516,2.906131938390003e-05,0.08697988933886529,0.007606117806558567,0
を使った効率化,を使った効率化,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,14
田川拓海 (筑波大),田川拓海 (筑波大),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,15
PH3-1,PH3-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,16
B6-1,B6-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,17
G5-3,G5-3,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,18
PH1-7,PH1-7,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
Linking,Linking,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,20
B4-3,B4-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,21
PH4-10,PH4-10,2,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
Labs),Labs),1,0.016129032258064516,0.0,6.530507491908949e-16,0.007044734061289179,23
A6-1,A6-1,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,24
B5-5,B5-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,25
E7-4,E7-4,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,26
(東北大/理研),(東北大/理研),1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,27
C4-5,C4-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,28
データの削除による識別精度の改善,データの削除による識別精度の改善,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,29
E5-3,E5-3,2,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,25
F5-3,F5-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,30
C5-2,C5-2,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,0
PT4-17,PT4-17,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,32
PT4-5,PT4-5,2,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,33
イベント選択器と文生成器の同時学習,イベント選択器と文生成器の同時学習,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,34
B7-3,B7-3,1,0.005376344086021506,0.0,3.234413389586946e-23,0.005445716112358119,35
E6-5,E6-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,36
PT4-10,PT4-10,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,37
PT3-14,PT3-14,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,38
C3-5,C3-5,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,39
B4-2,B4-2,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,21
D7-3○,D7-3○,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,40
E3-2,E3-2,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
Estimation,Estimation,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,42
PH1-3,PH1-3,2,0.010752688172043012,0.0,0.07739407281115551,0.004716237606784121,43
PH4-6,PH4-6,3,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,44
D3-5,D3-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,45
D8-3,D8-3,1,0.005376344086021506,0.0,0.007925042775719987,0.0031273839770107658,0
水本智也 (フューチャー/理研),水本智也 (フューチャー/理研),1,0.016129032258064516,0.0,6.530507491908949e-16,0.007044734061289179,23
による系列確率に基づく文法誤り検出,による系列確率に基づく文法誤り検出,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,47
B7-1,B7-1,1,0.010752688172043012,0.0,0.07739407281115551,0.004716237606784121,0
PT2-5,PT2-5,2,0.016129032258064516,0.005172914850334205,0.07812392818303694,0.0073082343229411775,43
渡邊友香 (国語研),渡邊友香 (国語研),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,48
