Author,Papers,Degree,Betweenness,Eigenvector,PageRank,Community
P4-1,3,0.01046337817638266,7.160566758858964e-05,3.800636987190724e-26,0.007256815180871195,74
P6-2,4,0.016442451420029897,0.00012978527250431872,0.0010082616119287328,0.006748044023844946,87
C4-1,3,0.016442451420029897,0.00012978527250431872,0.0010082616119287328,0.006748044023844946,87
E7-4,4,0.014947683109118088,0.00015663739785003983,1.3591280622963585e-09,0.006699991674917057,255
P5-18,3,0.017937219730941704,0.00025061983656006373,0.3576931726826838,0.005901262186101302,377
B6-2,3,0.013452914798206279,2.237677112143426e-05,0.0009714581990652732,0.005410967601821983,87
D9-2,3,0.007473841554559044,2.6852125345721114e-05,1.851366944143427e-28,0.005281241683565263,37
D3-4,3,0.01195814648729447,8.950708448573705e-05,1.2610308927743912e-09,0.005275733652878561,255
C8-3,3,0.004484304932735426,8.950708448573705e-06,3.6294627822740304e-39,0.004829875091105077,186
P8-15,3,0.004484304932735426,8.950708448573705e-06,3.6294627822740304e-39,0.004829875091105076,190
P2-1,2,0.004484304932735426,8.950708448573705e-06,3.6294627822740304e-39,0.004829875091105076,104
P7-20,3,0.0029895366218236174,4.475354224286852e-06,5.610754178564702e-49,0.004762881680641859,120
Li,2,0.0029895366218236174,4.475354224286852e-06,5.610754178564702e-49,0.004762881680641859,130
C9-4,3,0.005979073243647235,1.3426062672860557e-05,4.842353046272186e-30,0.004676804086217795,280
C9-3,3,0.005979073243647235,4.475354224286852e-06,5.265832870492198e-28,0.004436780947536308,61
P4-11,3,0.005979073243647235,4.475354224286852e-06,5.265832870492198e-28,0.004436780947536308,61
E4-4,3,0.008968609865470852,2.237677112143426e-05,5.139551984747417e-16,0.0044226921338491355,1
E4-3,3,0.008968609865470852,0.00011635920983145816,0.07308304389113897,0.004341364401344157,377
栗林樹生C2-3○,1,0.008968609865470852,0.0,1.1935618854887326e-09,0.003746375753199346,255
A7-2,2,0.008968609865470852,0.0,1.1935618854887326e-09,0.0037463757531993455,255
P9-15,2,0.008968609865470852,0.0,1.1935618854887326e-09,0.0037463757531993455,255
E7-1,1,0.008968609865470852,0.0,1.1935618854887326e-09,0.0037463757531993455,255
P4-1○,1,0.008968609865470852,0.0,1.1935618854887326e-09,0.0037463757531993455,255
P9-18,3,0.007473841554559044,6.265495914001593e-05,0.0717935910749646,0.0036380967030249832,377
岡崎直観B3-3,1,0.01195814648729447,0.0,0.32619617826975844,0.003545623726834421,377
C7-3,2,0.01195814648729447,0.0,0.32619617826975844,0.003545623726834421,377
P4-9,2,0.01195814648729447,0.0,0.32619617826975844,0.003545623726834421,377
C3-1,1,0.01195814648729447,0.0,0.32619617826975844,0.003545623726834421,377
B6-4,2,0.01195814648729447,0.0,0.32619617826975844,0.003545623726834421,377
D3-2,2,0.01195814648729447,0.0,0.32619617826975844,0.0035456237268344207,377
A7-4,2,0.01195814648729447,0.0,0.32619617826975844,0.0035456237268344207,377
C9-1,1,0.01195814648729447,0.0,0.32619617826975844,0.0035456237268344207,377
C2-2,2,0.007473841554559044,0.0,4.97035207550745e-16,0.0035013526954981405,1
P2-20,2,0.007473841554559044,0.0,4.97035207550745e-16,0.0035013526954981405,1
A5-2,2,0.007473841554559044,0.0,4.97035207550745e-16,0.0035013526954981405,1
B2-4,2,0.007473841554559044,0.0,4.97035207550745e-16,0.0035013526954981405,1
松崎拓也P1-2,1,0.007473841554559044,0.0,4.97035207550745e-16,0.00350135269549814,1
A3-1,1,0.01046337817638266,0.0,0.0008612418394201834,0.0034886204909186963,87
C4-3,2,0.01046337817638266,0.0,0.0008612418394201835,0.0034886204909186963,87
アキ秋葉友良P1-21,1,0.01046337817638266,0.0,0.0008612418394201834,0.0034886204909186963,87
A9-3,2,0.01046337817638266,0.0,0.0008612418394201835,0.0034886204909186963,87
C8-2,2,0.01046337817638266,0.0,0.0008612418394201835,0.003488620490918696,87
キヨ清野舜B1-4○,1,0.004484304932735426,0.0,4.4583541243422364e-30,0.0034332112671381677,280
B8-3,2,0.004484304932735426,0.0,4.4583541243422364e-30,0.0034332112671381677,280
P7-13,2,0.004484304932735426,0.0,4.4583541243422364e-30,0.0034332112671381677,280
P5-13○,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,163
DolçaE2-2○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,70
Guo,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,262
永田亮D4-1○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,226
LiyanB8-4,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,259
ニワ丹羽彩奈B3-3,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,47
佐藤志貴B9-1○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,148
P8-12,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,111
Benjamin,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,125
シモ下平英寿A6-3,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,210
A3-3,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,124
Yang,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,154
小川哲司A1-3,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,117
吉野幸一郎P2-9,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,178
JUNFU,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,114
SakrianiA4-1,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,198
Sakti,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,198
中川慧P3-20,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,112
カノ狩野芳伸P4-14,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,111
GuptaA6-4,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,20
Kim,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,176
P9-5,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,188
山田康輔B6-4○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,275
キヤ木山幸子P4-2,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,197
D3-3,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,50
GangD8-3,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,38
IkukoP2-12,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,129
進藤裕之P2-17,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,172
Chooi-LingP4-10○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,41
TengyangA5-3,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,164
P5-14,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,163
P9-2,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,162
YutingA8-1○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,8
Liu,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,448
P9-19,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,14
横野光E2-2,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,157
P4-8,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,15
A7-1,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,210
Rikters,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,79
WeiP1-20○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,154
Hardaway,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,129
P4-4,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,157
P4-6○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,150
B9-2,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,148
D8-1,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,32
A4-2,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,198
B9-4,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,217
C5-2,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,172
P8-2,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,237
D7-3,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,226
舟山弘晃D4-2,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,94
DENGP4-20○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,114
C6-4,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,217
P4-3,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,197
YoumiC7-3○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,24
村田真樹P9-1,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,162
E4-2○,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,50
YongminD8-2○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,176
LuP4-8○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,262
ヒラ平尾努P5-9,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,297
松本忠博P1-11,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,16
EiichiroA4-4,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,374
村脇有吾C3-3,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,29
HaihanB2-1○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,381
YvesB8-4,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,26
岩本蘭A1-4○,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,50
E8-3,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,29
A4-4○,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,6
Yu,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,381
C7-4,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,112
P3-6,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,117
田中弥生P3-12○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,150
P6-10,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,351
ShuichiroA8-4○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,93
P5-10,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,297
Ma,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,24
田村拓也A2-4,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,124
HeinzerlingE1-3,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,125
JaggiA6-4,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,34
C9-1○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,47
吉本啓E3-2○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,303
A2-3,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,362
P7-17,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,178
ウシ牛久祥孝P5-13,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,32
P6-12,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,28
Martin,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,34
HaosenA6-1○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,321
ミノ美野秀弥P1-3○,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,362
Qiao,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,38
谷本恒野P1-17,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,333
Wu,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,39
P9-14,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,372
ShanshanP8-15,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,448
Goh,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,41
YingxuanP4-8,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,95
西村太一P2-13,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,163
LEPAGE,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,26
WANG,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,259
関洋平C3-4,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,351
Prakhar,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,20
BrassardE1-3,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,288
オト乙武北斗C4-1,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,28
B8-2,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,288
Song,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,6
ケヤ欅惇志D3-2,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,237
HaiyueA4-3,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,6
P9-7,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,333
Chen,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,164
Shimizu,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,93
ヒガ東中竜一郎C6-2,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,217
D4-3,2,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,94
河野誠也P7-17,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,188
Wang,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,95
P8-3,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,157
P7-6,2,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,362
MatissP7-10,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,79
Ehara,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,348
JianminD8-3,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,39
Zhao,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,8
キタ北田俊輔P6-14○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,372
Ana,1,0.0029895366218236174,0.0,3.1474425418529606e-41,0.0032928807271251893,288
C9-3○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,275
Sumita,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,374
P3-17○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,16
Tellols,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,70
西口純代P1-14○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,15
Zhan,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,321
シイ椎名広光P8-6,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,14
TerumasaP3-14○,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,348
E9-1,1,0.0014947683109118087,0.0,7.627519190236449e-56,0.0032928807271251893,303
P8-14,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,49
コバ小林一郎P6-16,1,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,64
P7-11,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,49
C1-4,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,107
P7-1,1,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,173
P7-2,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,49
西田京介B1-1,1,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,107
P7-3,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,173
P9-4,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,64
村上仁一P3-7,1,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,173
ツル鶴岡慶雅B2-1,1,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,49
P7-15,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,107
E5-3○,1,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,173
P6-17,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,64
P8-18,2,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,64
A5-1,1,0.004484304932735426,0.0,7.376883910946329e-31,0.003292880727125189,107
安藤涼太P1-13,1,0.0029895366218236174,0.0,3.101875650867189e-39,0.0032393506591417063,104
佐々木裕P2-16,1,0.0029895366218236174,0.0,3.101875650867189e-39,0.0032393506591417063,186
西田典起E7-3○,1,0.0029895366218236174,0.0,3.101875650867189e-39,0.0032393506591417063,190
P8-21,2,0.0029895366218236174,0.0,3.101875650867189e-39,0.003239350659141706,190
P5-8,2,0.0029895366218236174,0.0,3.101875650867189e-39,0.003239350659141706,104
P9-10,2,0.0029895366218236174,0.0,3.1018756508671885e-39,0.003239350659141706,186
P3-3○,1,0.004484304932735426,0.0,1.4672401726167368e-28,0.003211513809497665,37
カジ梶原智之C1-2,1,0.004484304932735426,0.0,1.4672401726167368e-28,0.003211513809497665,37
A8-1,1,0.004484304932735426,0.0,1.4672401726167368e-28,0.0032115138094976647,37
P6-1,1,0.004484304932735426,0.0,2.4774857078314337e-26,0.0031729967321722265,74
P6-9○,1,0.004484304932735426,0.0,2.4774857078314337e-26,0.0031729967321722265,74
浅原正幸C2-3,1,0.004484304932735426,0.0,2.4774857078314337e-26,0.0031729967321722265,74
B4-4,3,0.007473841554559044,5.817960491572908e-05,0.0004704508378892104,0.0031685938791769334,87
C4-2,2,0.004484304932735426,0.0,4.5328597564276865e-28,0.002794148325145206,61
