Source,Target,Weight,Type
YujiP10-8,Matsumoto,1,Undirected
Shangyang,MouP7-6○,1,Undirected
E3-3,ヤナ谷中瞳D2-2,1,Undirected
E3-3,B2-5,1,Undirected
E3-3,D3-1,1,Undirected
E3-3,A5-3,1,Undirected
E3-3,C7-4○,1,Undirected
E3-3,C7-6,1,Undirected
E3-3,A8-6,1,Undirected
B3-5,塚田元B2-1,1,Undirected
B3-5,B3-1,1,Undirected
仲田明良P2-2,P2-18○,1,Undirected
Hamori,ShigeyukiP7-6,1,Undirected
Song,HuachengD11-3,1,Undirected
P6-3○,Mao,1,Undirected
P6-3○,JiannanP2-20,1,Undirected
Cheng,FeiE2-4,1,Undirected
Cheng,B8-2,1,Undirected
Cheng,P7-23,1,Undirected
B10-4,ゴウ郭傲B9-4,1,Undirected
B10-4,東中竜一郎E7-2,1,Undirected
B10-4,E8-6,1,Undirected
B10-4,B9-2,1,Undirected
B10-4,B9-4,1,Undirected
B10-4,B10-5,1,Undirected
B10-4,P5-15,1,Undirected
B10-4,P5-22,1,Undirected
Zhao,YufengP3-13,1,Undirected
D8-4,スド須藤克仁B3-6○,1,Undirected
D8-4,P4-18,2,Undirected
D8-4,P5-20,2,Undirected
D8-4,P8-14,2,Undirected
D8-4,P8-15,2,Undirected
D8-4,P8-18,2,Undirected
D8-4,中村哲B3-6,1,Undirected
D8-4,P7-20,1,Undirected
MasanoriP4-28,Takagi,1,Undirected
イワ岩倉友哉D3-2,P6-2,1,Undirected
B10-3,徳永健伸E4-2,1,Undirected
B10-3,E4-4,1,Undirected
B10-3,D8-3,1,Undirected
B10-3,D11-6,1,Undirected
A2-1,西田光甫C1-3○,1,Undirected
P7-18,マエ前川在A9-2,1,Undirected
P7-18,P6-11○,1,Undirected
P7-18,P11-11○,1,Undirected
Thien Q.B8-5○,Tran,1,Undirected
Thien Q.B8-5○,P6-14,1,Undirected
Thien Q.B8-5○,P9-18,1,Undirected
E11-1,岩澤有祐B7-1,1,Undirected
E11-1,A8-6,1,Undirected
Moeljadi,DavidE9-5,1,Undirected
IffatP8-27○,Maab,1,Undirected
Ma,Tzu-HsuanP1-4,1,Undirected
Ma,P10-2,1,Undirected
徳久良子D4-3,D7-4,1,Undirected
徳久良子D4-3,P5-25,1,Undirected
P9-22,Li,1,Undirected
P9-22,YunmengA7-2○,1,Undirected
DanielD2-6,Plesniak,1,Undirected
オヤ小山田昌史P8-4,P9-20,1,Undirected
オヤ小山田昌史P8-4,P9-23,1,Undirected
P4-12,Reisert,1,Undirected
P4-12,PaulP1-16,1,Undirected
P4-12,P3-12,1,Undirected
P4-12,P3-27,1,Undirected
P11-24,田中陸斗C2-3○,1,Undirected
E7-1○,栗林樹生E3-4,1,Undirected
E7-1○,E10-1○,1,Undirected
E7-1○,A11-6,1,Undirected
E7-1○,P9-15,1,Undirected
E7-1○,P9-21,1,Undirected
Lin,Pei-ChunD6-3,1,Undirected
E6-5,川崎義史E6-2○,1,Undirected
E6-5,E6-4,1,Undirected
OkgethengB3-2○,Boago,1,Undirected
E7-1,上田亮E3-4,1,Undirected
E7-1,E6-1○,1,Undirected
E7-1,E7-3,1,Undirected
E7-1,E7-5○,1,Undirected
E7-1,E7-6○,1,Undirected
TerumasaP1-27○,Ehara,1,Undirected
Qiao,GangA9-3,1,Undirected
Wu,XuanxinD11-4○,1,Undirected
B10-6○,Loem,1,Undirected
B10-6○,MengsayA6-1,1,Undirected
B10-6○,A6-4,1,Undirected
B10-6○,A8-5,1,Undirected
B10-6○,A11-4,1,Undirected
D8-3,徳永健伸E4-2,1,Undirected
D8-3,E4-4,1,Undirected
D8-3,D11-6,1,Undirected
當間愛晃B1-3○,C1-5,1,Undirected
Chia-ChienP9-20,Hung,1,Undirected
上田亮E3-4,E6-1○,1,Undirected
上田亮E3-4,E7-3,1,Undirected
上田亮E3-4,E7-5○,1,Undirected
上田亮E3-4,E7-6○,1,Undirected
E8-3,タニ谷口彰E8-1,1,Undirected
E8-3,E8-2,1,Undirected
Zhu,FuzhuP8-12○,1,Undirected
EnriqueP1-12,Reid,1,Undirected
E7-5○,E6-1○,1,Undirected
